Configs: FCNs_batch1_epoch50_RMSprop_scheduler-step50-gamma0.5_lr0.0001_momentum0_w_decay1e-51
Finish cuda loading, time elapsed 0.127589941025
epoch0, iter2900, loss: 1.82973670959
epoch0, iter2901, loss: -2.25686526299
epoch0, iter2910, loss: 2.09871983528
epoch0, iter2911, loss: -2.25249695778
epoch0, iter2920, loss: 2.58454871178
epoch0, iter2921, loss: -2.39390301704
epoch0, iter2930, loss: 1.9317278862
epoch0, iter2931, loss: -2.58850908279
epoch0, iter2940, loss: 2.74227309227
epoch0, iter2941, loss: -2.09894657135
epoch0, iter2950, loss: 2.06661868095
epoch0, iter2951, loss: -1.66118907928
epoch0, iter2960, loss: 1.61286520958
epoch0, iter2961, loss: -2.10717225075
epoch0, iter2970, loss: 1.75461173058
epoch0, iter2971, loss: -1.75552582741
epoch0, iter2980, loss: 2.97015309334
epoch0, iter2981, loss: -2.91442298889
epoch0, iter2990, loss: 1.85567998886
epoch0, iter2991, loss: -2.06418132782
epoch0, iter3000, loss: 2.51204752922
epoch0, iter3001, loss: -2.43446612358
epoch0, iter3010, loss: 2.05038404465
epoch0, iter3011, loss: -1.99851727486
epoch0, iter3020, loss: 2.46568369865
epoch0, iter3021, loss: -2.4707069397
epoch0, iter3030, loss: 2.08240437508
epoch0, iter3031, loss: -2.51152825356
epoch0, iter3040, loss: 1.37503123283
epoch0, iter3041, loss: -1.78798818588
epoch0, iter3050, loss: 1.71725678444
epoch0, iter3051, loss: -1.75703644753
epoch0, iter3060, loss: 2.31074953079
epoch0, iter3061, loss: -2.33270192146
epoch0, iter3070, loss: 1.94103980064
epoch0, iter3071, loss: -1.46261954308
epoch0, iter3080, loss: 2.23391270638
epoch0, iter3081, loss: -1.67181587219
epoch0, iter3090, loss: 2.06778311729
epoch0, iter3091, loss: -1.98165750504
epoch0, iter3100, loss: 1.80633950233
epoch0, iter3101, loss: -1.85750699043
epoch0, iter3110, loss: 2.29493618011
epoch0, iter3111, loss: -2.16149425507
epoch0, iter3120, loss: 1.95122647285
epoch0, iter3121, loss: -1.64841771126
epoch0, iter3130, loss: 3.21609210968
epoch0, iter3131, loss: -2.17422509193
epoch0, iter3140, loss: 1.764077425
epoch0, iter3141, loss: -2.2861366272
epoch0, iter3150, loss: 2.00402998924
epoch0, iter3151, loss: -2.5046172142
epoch0, iter3160, loss: 3.16575694084
epoch0, iter3161, loss: -1.8302936554
epoch0, iter3170, loss: 2.47376132011
epoch0, iter3171, loss: -1.75597381592
epoch0, iter3180, loss: 2.61462140083
epoch0, iter3181, loss: -2.69817185402
epoch0, iter3190, loss: 1.76878476143
epoch0, iter3191, loss: -2.56493973732
epoch0, iter3200, loss: 1.62441468239
epoch0, iter3201, loss: -1.84890437126
epoch0, iter3210, loss: 1.44229769707
epoch0, iter3211, loss: -1.95797395706
epoch0, iter3220, loss: 1.58150672913
epoch0, iter3221, loss: -3.19306206703
epoch0, iter3230, loss: 2.51925134659
epoch0, iter3231, loss: -1.47879552841
epoch0, iter3240, loss: 1.99861955643
epoch0, iter3241, loss: -1.68622207642
epoch0, iter3250, loss: 1.69722127914
epoch0, iter3251, loss: -2.1621992588
